addition_1,addition_2,addition_3,addition_4,subtraction_1,subtraction_2,subtraction_3,subtraction_4,multiplication_0.5,multiplication_1,multiplication_1.5,multiplication_2,multiplication_3,multiplication_4,number_line,number_line_2,number_line_3,exponents_1,exponents_2,exponents_3,exponents_4
0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,0,0,0,-1
0,-1,1,0,1,0,-1,-1,-1,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1
0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
1,0,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,-1,-1,1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,0,1,-1,-1
1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1
